CalId;C¢digo NL;C¢digo RL;"N. RLs
Revisados";Texto do Requisito Legal;Soluá∆o;Hip¢tese de Incidància;"E / OU
(HIs)";Respons†vel pela Revis∆o;Respons†vel pela Alteraá∆o;Trecho da Carta de Atualizaá∆o;Data da Conclus∆o;Respons†vel pela Solicitaá∆o
4;13969;5914;;ê enviado Ö ANP documento assinado por engenheiro qu°mico ou qu°mico respons†vel, com o devido registro no CREA ou CRQ descrevendo a composiá∆o dos produtos e sua aplicaá∆o, atestando a n∆o geraá∆o de ¢leo lubrificante usado ou n∆o contaminado, nos caso em que o ¢leo lubrificante acabado importado se enquadrar como dispensados de coleta?;Nada a alterar;Importar ¢leo lubrificante;;Amanda;Amanda;;2018;
4;13969;5916;;ê cumprida a obrigaá∆o de enviar Ö ANP atÇ o dia 15 de cada màs subseqÅente ao de competància, por meio de arquivo eletrìnico, relat¢rios de movimentaá∆o, conforme previsto no art. 17?;"HI substitu°da por ""Importar ¢leo lubrificante""";Produzir ¢leo lubrificante ;;Amanda;Amanda;;2018;
4;13969;5917;;Os empregados ou terceiros contratados s∆o treinados em relaá∆o a todas as etapas da atividade, em conformidade com a legislaá∆o pertinente?;"HIs substitu°das por ""Importar ¢leo lubrificante""";"Importar ¢leo lubrificante

Comercializar ¢leo lubrificante

Produzir ¢leo lubrificante ";OU;Amanda;Amanda;;2018;
4;13969;5918;;O ¢leo lubrificante usado ou contaminado Ç destinado para rerrefino ou qualquer outra utilizaá∆o licenciada pelo ¢rg∆o ambiental competente?;Nada a alterar;Importar ¢leo lubrificante ;;Amanda;Amanda;;2018;
4;11564;6799;;ê recolhida Anotaá∆o de Responsabilidade TÇcnica para os contratos escritos ou verbais para a execuá∆o de obras ou prestaá∆o de serviáos profissionais referentes Ö Engenharia, Arquitetura e Agronomia?;Nada a alterar;Executar e/ou contratar serviáos de engenharia, arquitetura ou agronomia (inclusive trabalhos escritos) ;;Amanda;Amanda;;2018;
4;16998;7077;;As instalaá‰es radiativas possuem autorizaá∆o v†lida emitida pela CNEN?;Nada a alterar;Operar instalaá∆o radiativa ;;Amanda;Amanda;;2018;
4;16998;7089;;As modificaá‰es a serem executadas numa instalaá∆o radiativa s∆o precedidas de requerimento de Autorizaá∆o para Modificaá∆o de Itens Importantes Ö Seguranáa junto Ö CNEN? (Nota Ius Natuta: Entende-se por itens importantes Ö seguranáa aqueles previstos no art. 15, ı £nico.);Nada a alterar;Operar instalaá∆o radiativa ;;Amanda;Amanda;;2018;
4;16998;7092;;A renovaá∆o da Autorizaá∆o para Operaá∆o Ç solicitada com o m°nimo de 30 dias de antecedància do prazo previsto para o tÇrmino de sua validade? (Nota Ius Natura: observar a forma do disposto no Anexo II.);Nada a alterar;Operar instalaá∆o radiativa ;;Amanda;Amanda;;2018;
4;16998;7093;;ê solicitada a Autorizaá∆o para Retirada de Operaá∆o, mediante requerimento encaminhado Ö CNEN, acompanhado de Plano de Descomissionamento (com o conte£do m°nimo indicado no art. 24), para o encerramento das atividades nas instalaá‰es radiativas?;Nada a alterar;Operar instalaá∆o radiativa ;;Amanda;Amanda;;2018;
4;16998;7316;;As instalaá‰es radiativas que j† se encontravam constru°das, comissionadas e em funcionamento em 29.04.2014 providenciaram a regularizaá∆o do respectivo processo de licenciamento, atÇ 29.04.2016, mediante a solicitaá∆o formal do Ato Administrativo de Autorizaá∆o para Operaá∆o?;Nada a alterar;Operar instalaá∆o radiativa ;;Amanda;Amanda;;2018;
4;17048;7331;;Ap¢s a segregaá∆o e acondicionamento em embalagens adequadas, os rejeitos s∆o identificados conforme ficha apresentada no Anexo IV e classificados de acordo com as Classes estabelecidas no art. 3¯?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7332;;ê assegurada a minimizaá∆o do volume e da atividade dos rejeitos radioativos gerados na operaá∆o das instalaá‰es nucleares, radioativas, minero-industrial ou dep¢sito de rejeitos radioativos?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7334;;Os rejeitos dispensados s∆o registrados em conformidade com os dados especificados no Anexo III?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7335;;As embalagens destinadas Ö segregaá∆o, Ö coleta, ao transporte e ao armazenamento de rejeitos n∆o isentos possuem o s°mbolo internacional de radiaá∆o, fixado de forma clara e vis°vel?;"Adicionada HI ""Transportar rejeitos radioativos""";"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7337;;Os rejeitos radioativos s∆o segregados de quaisquer outros materiais e acondicionados em embalagens que atendam aos requisitos constantes na Seá∆o III, Cap°tulo III? (Nota Ius Natura 1: os res°duos devem ser armazenados atÇ que possam ser eliminados ou transferidos para local determinado pela CNEN. Nota Ius Natura 2: a segregaá∆o dos rejeitos deve ser realizada no mesmo local em que foram gerados ou em ambiente apropriado, nos termos do art. 12.);Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7339;;ê assegurada a ausància de contaminaá∆o superficial externa em n°veis superiores aos especificados no Anexo V para as embalagens destinadas ao transporte de rejeitos n∆o radioativos?;"Adicionada HI ""Transportar rejeitos radioativos""";"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7340;;Os volumes de rejeitos radioativos apresentam fichas de identificaá∆o, afixadas externamente, informando seu n£mero de registro e a taxa de dose na superf°cie?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7341;;O armazenamento de rejeitos radioativos l°quidos Ç realizado sobre bacia de contená∆o, bandeja, recipiente ou material absorvente com capacidade de conter ou absorver o dobro do volume do l°quido presente na embalagem?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7342;;Os ve°culos utilizados para transporte, tanto interno quanto externo, de rejeitos radioativos s∆o monitorados e, caso necess†rio, descontaminados ap¢s cada serviáo de transporte interno de rejeitos radiativos?;"Adicionada HI ""Transportar rejeitos radioativos""";"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7343;;Os volumes de rejeitos radioativos s∆o acompanhados de fichas com as informaá‰es no Anexo IV?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7344;;O dep¢sito inicial ou intermedi†rio de rejeitos da Classe 1 atende os requisitos estabelecidos no art. 22?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7345;;A dispensa incondicional de rejeitos radioativos gasosos Ç precedida de autorizaá∆o v†lida emitida pela CNEN?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7346;;Os rejeitos radioativos armazenados para decaimento, visando posterior dispensa, s∆o mantidos separados de materiais radioativos em uso e de outros rejeitos a serem armazenados por per°odo longo ou a serem removidos para local determinado pela CNEN?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7347;;A exportaá∆o de rejeito radioativo, sob qualquer forma e composiá∆o qu°mica, em qualquer quantidade, possui autorizaá∆o v†lida emitida pela CNEN?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7348;;O processo de tratamento de rejeitos radioativos possui aprovaá∆o v†lida emitida pela CNEN?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7349;;Os r¢tulos com o s°mbolo internacional indicativo de presenáa de radiaá∆o presentes nos rejeitos s¢lidos s∆o retirados ou descaracterizados por ocasi∆o de sua dispensa no sistema de coleta de res°duo urbano?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7350;;ê mantido, pela instalaá∆o, sistema atualizado de registro de rejeitos radioativos, nos termos do art. 42? (Nota Ius Natura: o controle de invent†rio de todo rejeito radioativo deve estar dispon°vel na instalaá∆o para avaliaá∆o durante inspeá‰es da CNEN ou para ser enviado quando solicitado, atÇ o descomissionamento da instalaá∆o.);Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7351;;Os rejeitos radioativos s∆o mantidos separados de outros produtos perigosos, como explosivos, inflam†veis, oxidantes e corrosivos?;Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;17048;7352;;ê atendida a proibiá∆o de importar rejeitos radioativos? (Nota Ius Natura: a admiss∆o tempor†ria de rejeitos radioativos no pa°s, para fins de tratamento, Ç permitida mediante autorizaá∆o prÇvia da CNEN.);Nada a alterar;"Gerar rejeitos radioativos

Armazenar rejeitos radioativos";OU;Amanda;Amanda;;2018;
4;10596;7379;;O Serviáo de Radioproteá∆o Ç constitu°do por um Supervisor de Radioproteá∆o, por um n£mero apropriado de tÇcnicos de n°vel superior e/ou mÇdio, e por auxiliares devidamente qualificados para o exerc°cio das suas funá‰es espec°ficas? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7380;;O Serviáo de Radioproteá∆o est† diretamente subordinado Ö Direá∆o da Instalaá∆o, sem ser estruturalmente vinculado a grupos de manutená∆o ou de operaá∆o da Instalaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7381;;O Serviáo de Radioproteá∆o possui as instalaá‰es e equipamentos especificados nos itens 4.3 e 4.4, respectivamente? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7382;;ê realizado controle de trabalhadores de †reas controladas atravÇs de monitoraá∆o individual, avaliaá∆o de doses e supervis∆o mÇdica? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7383;;ê feita monitoraá∆o permanente de cada trabalhador de †reas controladas com dos°metros individuais? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7384;;As especificaá‰es dos dos°metros individuais s∆o compat°veis com as condiá‰es de exposiá∆o, tais como tipo de radiaá∆o, energia, geometria de irradiaá∆o do corpo, tempo de exposiá∆o e taxa de dose? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7385;;S∆o utilizados tantos dos°metros quantos forem necess†rios para a avaliaá∆o de doses de regi‰es do corpo em separado, quando existir o risco de exposiá∆o n∆o homogànea do corpo humano? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7386;;Existe procedimento prevendo a descontaminaá∆o de trabalhadores, imediatamente ap¢s a constataá∆o de ocorràncias de contaminaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7387;;ê observada a possibilidade dos dos°metros individuais permitirem avaliaá‰es em separado de doses devido a exposiá‰es de raios X e gama, nàutrons e radiaá∆o beta, quando ocorrerem na Instalaá∆o?  ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7388;;S∆o feitos exames das m∆os, pÇs, cabeáa e roupas de trabalhadores sujeitos ao risco de contaminaá∆o externa com monitores de contaminaá∆o adequados sempre que se retirarem das †reas sujeitas a contaminaá‰es, ou sempre que houver uma suspeita de ocorrància de contaminaá∆o durante o trabalho? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7389;;O Serviáo de Radioproteá∆o realiza a avaliaá∆o de todas as doses e demais grandezas sujeitas Ö limitaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7390;;S∆o realizados testes di†rios dos monitores de contaminaá∆o em pessoas com fontes-teste adequadas?  ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7391;;ê previsto o fornecimento de todos os equipamentos e meios necess†rios para evitar a contaminaá∆o de trabalhadores sujeitos ao risco de contaminaá∆o externa? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7392;;Ap¢s a ocorrància de exposiá‰es de emergància ou acidentes, ou suspeita de ocorrància de acidentes, s∆o previstas providàncias para imediata avaliaá∆o dos dos°metros individuais dos trabalhadores envolvidos? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7393;;O per°odo de uso e os procedimentos de avaliaá∆o dos dos°metros individuais s∆o compat°veis com as condiá‰es de exposiá∆o?  ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7394;;ê prevista a realizaá∆o de calibraá‰es e, quando necess†rio, avaliaá‰es dos dos°metros individuais em instituiá‰es autorizadas pela CNEN? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7395;;Antes da distribuiá∆o de dos°metros individuais, Ç realizado exame para verificaá∆o da adequaá∆o das suas condiá‰es de uso? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7396;;A liberaá∆o da reutilizaá∆o de sapatos, luvas e outros apetrechos, acess¢rios e meios usados para a proteá∆o individual de trabalhadores contaminados Ç condicionada a sua prÇvia descontaminaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7397;;Foi estabelecido programa de controle da qualidade dos dos°metros individuais, envolvendo inspeá‰es, aferiá‰es e ajustes? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7398;;Est∆o instalados monitores de contaminaá∆o em pessoas em locais apropriados, nas †rea que apresentam risco de contaminaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7399;;ê vedada a permanància de trabalhadores em †reas com contaminaá∆o, o contato de pessoas contaminadas com outras n∆o contaminadas ou a sua permanància em †reas n∆o contaminadas? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7400;;ê previsto o uso de monitores de contaminaá∆o em pessoas especificamente adequados para os tipos de radionucl°deos que possam ser liberados nas †reas de trabalho? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7401;;O mÇdico respons†vel pela supervis∆o mÇdica possui experiància e conhecimentos relativos aos efeitos e terapàutica associados aos acidentes com radiaá‰es ionizantes?  ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7402;;A supervis∆o mÇdica abrange o exame prÇ-ocupacional, o exame peri¢dico, os exames especiais e o exame p¢s-ocupacional?  ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7403;;O Serviáo de Radioproteá∆o realiza, periodicamente, a avaliaá∆o e classificaá∆o de †reas? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7404;;As †reas restritas da Instalaá∆o est∆o providas de meios adequados para o controle do seu acesso? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7405;;As †reas restritas da Instalaá∆o est∆o claramente sinalizadas? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7406;;Foi estabelecido e executado um programa de monitoraá∆o cont°nua para todas as †reas restritas da Instalaá∆o, tanto para condiá‰es normais de trabalho como para situaá‰es de emergància? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7407;;O programa de monitoraá∆o de †rea abrange a execuá∆o das atividades previstas no item 6.2.4.4? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7408;;O Serviáo de Radioproteá∆o mantÇm atualizado um registro individual de cada trabalhador da Instalaá∆o, contendo as informaá‰es exigidas no item 6.7.2 desta norma?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7409;;O Serviáo de Radioproteá∆o -SR est† instalado em conformidade com a norma?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7410;;O Serviáo de Radioproteá∆o determina as †reas ambientais sujeitas, ou que possam vir a ser sujeitas, a contaminaá∆o oriundas da Instalaá∆o e executa um programa de monitoraá∆o ambiental adequado Ö natureza da Instalaá∆o, ao meio ambiente e Ös condiá‰es clim†ticas locais?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7411;;Foi estabelecido, pelo Serviáo de Radioproteá∆o, um programa de inspeá‰es dos seus equipamentos visando Ö verificaá∆o das suas condiá‰es f°sicas, de suas condiá‰es de instalaá∆o e seguranáa, dos procedimentos de uso e de armazenamento, das suas condiá‰es de funcionamento e da presenáa de contaminaá‰es?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7412;;O Serviáo de Radioproteá∆o possui equipamentos substitutivos e peáas de reposiá∆o para os equipamentos considerados indispens†veis Ö proteá∆o dos trabalhadores? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7413;;ê prevista a imediata comunicaá∆o, pelo Serviáo de Radioproteá∆o, Ö Direá∆o da Instalaá∆o, da ocorrància de qualquer irregularidade constatada com fonte de radiaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7414;;ê promovida a calibraá∆o dos instrumentos de mediá∆o do Serviáo de Radioproteá∆o, por entidades autorizadas pela CNEN? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7415;;O Serviáo de Radioproteá∆o  determina o grupo cr°tico da populaá∆o afetada, ou que possa vir a ser afetada, em conseqÅància das atividades da Instalaá∆o, e orienta as operaá‰es da mesma de modo a minimizar a dose recebida pelo grupo cr°tico?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7416;;Foram estabelecidos por escrito, e aprovados pelo Supervisor de Radioproteá∆o, os procedimentos para o uso, manuseio, acondicionamento, transporte e armazenamento de fonte de radiaá∆o? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7417;;Os trabalhadores da Instalaá∆o possuem conhecimento sobre os riscos associados Ö sua sa£de em virtude do desempenho de suas funá‰es, bem como noá‰es de primeiros socorros? ;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7419;;ê provida, pelo Serviáo de Radioproteá∆o, supervis∆o mÇdica adequada a todos os trabalhadores da Instalaá∆o?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10596;7428;;O Serviáo de Radioproteá∆o mantÇm registro das informaá‰es relativas Ös †reas da Instalaá∆o especificadas no item 6.7.3?;Nada a alterar;"Operar instalaá∆o nuclear

Operar instalaá∆o radiativa";OU;Amanda;Amanda;;2018;
4;10591;7536;;ê realizada a comprovaá∆o, atravÇs de evidància, que o produto gerado como resultado do tratamento e/ou acondicionamento realizados nas instalaá‰es do gerador de rejeitos radioativos atende a critÇrios de aceitaá∆o? ;Nada a alterar;Gerar rejeitos radioativos ;;Amanda;Amanda;;2018;
4;10591;7537;;S∆o gerados e mantidos os registros e demais documentos relativos aos rejeitos atÇ a aceitaá∆o e transferància destes para o dep¢sito intermedi†rio ou Reposit¢rio?;Nada a alterar;"Gerar rejeitos radioativos 

Armazenar rejeitos radioativos ";OU;Amanda;Amanda;;2018;
4;16442;7555;;S∆o atendidas as exigàncias do item 4.2 para elaborar os Programas de Garantia da Qualidade - PGQ?;"Inseridas HIs ""Operar usina nucleoelÇtrica"" e ""Construir usina nucleoelÇtrica""";"Operar instalaá∆o nuclear 

Construir instalaá∆o nuclear

Construir instalaá∆o radiativa

Operar instalaá∆o radiativa ";OU;Amanda;Amanda;;2018;
4;16442;7557;;Foi estabelecido e implantado um Sistema de Garantia da Qualidade, conforme requisitos indicados no item 4.1?;"Inseridas HIs ""Operar usina nucleoelÇtrica"" e ""Construir usina nucleoelÇtrica""";"Operar instalaá∆o nuclear 

Construir instalaá∆o nuclear

Construir instalaá∆o radiativa

Operar instalaá∆o radiativa ";OU;Amanda;Amanda;;2018;
4;16442;7558;;Foram estabelecidas e documentadas medidas de controle de projeto, conforme item 4.5? ;"Inseridas HIs ""Operar usina nucleoelÇtrica"" e ""Construir usina nucleoelÇtrica""";"Operar instalaá∆o nuclear 

Construir instalaá∆o nuclear

Construir instalaá∆o radiativa

Operar instalaá∆o radiativa ";OU;Amanda;Amanda;;2018;
4;16442;7559;;ê realizado um controle de documentos nos termos do item 4.4?;"Inseridas HIs ""Operar usina nucleoelÇtrica"" e ""Construir usina nucleoelÇtrica""";"Operar instalaá∆o nuclear 

Construir instalaá∆o nuclear

Construir instalaá∆o radiativa

Operar instalaá∆o radiativa ";OU;Amanda;Amanda;;2018;
4;16442;7560;;O controle de aquisiá‰es Ç realizado em conformidade com o item 4.6?;"Inseridas HIs ""Operar usina nucleoelÇtrica"" e ""Construir usina nucleoelÇtrica""";"Operar instalaá∆o nuclear 

Construir instalaá∆o nuclear

Construir instalaá∆o radiativa

Operar instalaá∆o radiativa ";OU;Amanda;Amanda;;2018;
4;16442;7561;;"S∆o cumpridas as obrigaá‰es do item 4.3 relacionadas Ös responsabilidades, autoridades e comunicaá‰es; interfaces organizacionais e seleá∆o e treinamento de pessoal?";"Inseridas HIs ""Operar usina nucleoelÇtrica"" e ""Construir usina nucleoelÇtrica""";"Operar instalaá∆o nuclear 

Construir instalaá∆o nuclear

Construir instalaá∆o radiativa

Operar instalaá∆o radiativa ";OU;Amanda;Amanda;;2018;
